time_ms,speed_rpm
14828,85.71
14838,85.71
14848,85.71
14858,102.86
14868,85.71
14878,85.71
14888,85.71
14898,85.71
14908,102.86
14918,85.71
14928,85.71
14938,85.71
14948,85.71
14958,85.71
14968,85.71
14978,102.86
14988,85.71
14998,85.71
15009,85.71
15019,102.86
15029,85.71
15039,85.71
15049,85.71
15059,85.71
15069,102.86
15079,85.71
15089,85.71
15099,85.71
15109,85.71
15119,85.71
15129,102.86
15139,68.57
15149,102.86
15159,85.71
15169,85.71
15180,102.86
15190,85.71
15200,85.71
15210,85.71
15220,102.86
15230,68.57
15240,102.86
15250,85.71
15260,85.71
15270,85.71
15280,85.71
15290,102.86
15300,85.71
15310,85.71
15320,85.71
15330,85.71
15340,85.71
15350,85.71
15360,102.86
15370,85.71
15380,85.71
15390,85.71
15400,85.71
15410,85.71
15420,102.86
15430,85.71
15440,85.71
15450,85.71
15460,85.71
15470,102.86
15480,68.57
15490,102.86
15500,85.71
15510,85.71
15521,102.86
15531,85.71
15541,85.71
15551,85.71
15561,102.86
15571,68.57
15581,102.86
15591,85.71
15601,85.71
15611,85.71
15621,85.71
15631,102.86
15641,85.71
15651,85.71
15661,85.71
15671,85.71
15681,102.86
15692,85.71
15702,85.71
15712,85.71
15722,102.86
15732,85.71
15742,85.71
15752,85.71
15762,85.71
15772,85.71
15782,85.71
15792,85.71
15802,102.86
15812,85.71
15822,85.71
15832,85.71
15842,85.71
15852,85.71
15862,85.71
15872,85.71
15882,102.86
15892,85.71
15902,85.71
15912,85.71
15922,85.71
15932,102.86
15942,85.71
15952,85.71
15962,85.71
15972,85.71
15982,102.86
15992,68.57
16002,102.86
16012,85.71
16022,85.71
16033,85.71
16043,102.86
16053,85.71
16063,85.71
16073,85.71
16083,85.71
16093,85.71
16103,102.86
16113,85.71
16123,85.71
16133,85.71
16143,85.71
16153,102.86
16163,68.57
16173,102.86
16183,85.71
16193,85.71
16204,85.71
16214,102.86
16224,85.71
16234,85.71
16244,85.71
16254,85.71
16264,85.71
16274,102.86
16284,85.71
16294,85.71
16304,85.71
16314,85.71
16324,102.86
16334,68.57
16344,102.86
16354,85.71
16364,85.71
16374,85.71
16384,85.71
16394,85.71
16404,85.71
16414,85.71
16424,68.57
16434,68.57
16444,85.71
16454,68.57
16464,68.57
16474,68.57
16484,68.57
16494,68.57
16504,68.57
16514,51.43
16524,68.57
16534,51.43
16545,51.43
16555,51.43
16565,51.43
16575,51.43
16585,51.43
16595,34.29
16605,34.29
16615,34.29
16625,34.29
16635,34.29
16645,17.14
16655,34.29
16665,17.14
16675,17.14
16685,17.14
16695,17.14
16705,17.14
